ORF	start	stop	orientation	name	function	class	subclass	EC	LocateP Subcellular Localization Prediction				
lp_0027	32239	32907	-	pgmB1	beta-phosphoglucomutase	Central intermediary metabolism	Biosynthesis and degradation of polysaccharides	5.4.2.6	@Intracellular				
lp_0028	32928	35645	-	lp_0028	kojibiose like phosphorylase, specific	Central intermediary metabolism	Biosynthesis and degradation of polysaccharides	2.4.1.-	@Intracellular				
lp_0030	36036	36482	-	lp_0030	unknown	Hypothetical proteins	Not conserved: other		@Intracellular				
lp_0031	36680	36877	+	cspL	cold shock protein CspL	Cellular processes	Adaptations and atypical conditions (Heat/cold shock)		@Intracellular				
lp_0032	36963	37193	+	lp_0032	unknown	Hypothetical proteins	Not conserved: other		@Intracellular				
lp_0036	37770	38474	+	rrp1	two-component response regulator	Regulatory functions	Two-component regulators		@Intracellular				
lp_0037	38491	40362	+	hpk1	histidine protein kinase; sensor protein	Regulatory functions	Two-component regulators	2.7.3.-	@Multi-transmembrane				
lp_0038	40346	41668	+	lp_0038	regulator of two-component system	Regulatory functions	Two-component regulators		@N-terminally anchored (No CS)				
lp_0039	41683	42534	+	lp_0039	unknown	Hypothetical proteins	Conserved: other		@N-terminally anchored (No CS)				
lp_0041	42895	43707	+	lp_0041	Zn-dependent hydrolase, beta-lactamase superfamily	Hypothetical proteins	Conserved: putative function		@Intracellular				
lp_0043	43821	45080	+	htrA	serine protease HtrA	Protein fate	Degradation of proteins, peptides, and glycopeptides	3.4.21.-	@N-terminally anchored (No CS)				
lp_0045	45638	46114	+	lp_0045	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_0046	46600	47172	+	lp_0046	transcription regulator, TetR family	Regulatory functions	TetR/AcrR-family regulators		@Intracellular /TMH start  AFTER 60				
lp_0047	47239	48666	+	calB	coniferyl aldehyde dehydrogenase	Energy metabolism	Phenolic acids	1.2.1.68	@Intracellular				
lp_0048	48877	49506	+	lp_0048	uracil-DNA glycosylase family protein	DNA metabolism	DNA replication recombination, and repair		@Intracellular				
lp_0050	49758	50405	+	nbr	nitrobenzoate nitroreductase	Energy metabolism	Phenolic acids		@Intracellular				
lp_0052	50524	50889	+	lp_0052	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_0053	50963	51607	-	lp_0053	fibronectin-binding protein (putative)	Cell envelope	Cell surface proteins: membrane bound		@Intracellular				
lp_0054	51807	52637	-	lp_0054	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_0055	52794	55160	-	lp_0055	fumarate reductase, flavoprotein subunit precursor	Energy metabolism	Electron transport	1.3.99.1	@Intracellular				
lp_0056	55625	57037	+	lp_0056	cation transport protein	Transport and binding proteins	Cations		@Multi-transmembrane				
lp_0057	57132	58034	+	lp_0057	transcription regulator, LysR family	Regulatory functions	LysR-family regulators		@Intracellular				
lp_0058	58110	58532	-	lp_0058	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_0059	58868	59290	+	arsC	arsenate reductase	Cellular processes	Adaptations and atypical conditions (Other)	1.20.4.1	@Intracellular				
lp_0060	59613	60470	+	lp_0060	short-chain dehydrogenase/oxidoreductase	Energy metabolism	Aerobic		@Intracellular				
lp_0061	60505	61347	+	adc	acetoacetate decarboxylase (putative)	Energy metabolism	Fermentation		@Intracellular				
lp_0062	61378	62028	+	lp_0062	nitroreductase	Energy metabolism	Anaerobic	1.-.-.-	@Intracellular				
lp_0063	62200	63732	+	lp_0063	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_0066	64066	64734	+	pgmB2	beta-phosphoglucomutase	Central intermediary metabolism	Biosynthesis and degradation of polysaccharides	5.4.2.6	@Intracellular				
lp_0067	64826	65839	-	pva1	penicillin V acylase family protein	Fatty acid and phospholipid metabolism	Sterol, Vitamin K, Vitamin E, carotenoids biosynthesis	3.5.1.11	@Intracellular				
lp_0068	66113	67453	+	lp_0068	integral membrane protein	Hypothetical proteins	Conserved: membrane proteins		@Multi-transmembrane				
lp_0069	67605	68348	+	ptp1	protein-tyrosine phosphatase	Protein fate	Protein modification and repair	3.1.3.48	@Intracellular				
lp_0070	68427	69671	-	lp_0070	4-hydroxyphenylacetate-3-hydroxylase, C-terminus (pseudogene)	Energy metabolism	Phenolic acids	1.14.13.3	@Intracellular				
lp_0071	69750	69860	-	lp_0071	4-hydroxyphenylacetate-3-hydroxylase, N-terminus (pseudogene)	Energy metabolism	Phenolic acids	1.14.13.3	@Intracellular				
lp_0072	69946	70443	-	lp_0072	RNA-binding protein, ASCH domain (putative)	Transcription	RNA processing		@Intracellular				
lp_0073	70536	71201	+	lp_0073	glutamine amidotransferase class-I	Amino acid biosynthesis	Glutamate family	2.4.2.-	@Intracellular				
lp_0074	71295	72248	-	lp_0074	transcription regulator, DeoR family	Regulatory functions	DeoR-family regulators		@Intracellular				
lp_0075	72330	72974	+	azoR1	FMN-dependent NADH-azoreductase (putative)	Energy metabolism	Electron transport	1.6.5.2	@Intracellular				
lp_0076	73239	75254	+	fusA1	elongation factor G	Protein synthesis	Translation factors		@Intracellular				
lp_0077	75275	75958	+	lp_0077	unknown	Hypothetical proteins	Not conserved: other		@Intracellular				
lp_0078	75967	76848	+	lp_0078	transport protein	Transport and binding proteins	Drug/metabolite (DMT superfamily)		@Multi-transmembrane				
lp_0080	77039	77527	+	lp_0080	acetyltransferase, GNAT family (putative)	Hypothetical proteins	Conserved: putative function		@Intracellular				
lp_0081	77564	78235	-	lp_0081	ThiJ/PfpI family protein	Hypothetical proteins	Conserved: putative function		@Intracellular				
lp_0082	78284	79285	-	lp_0082	oxidoreductase	Hypothetical proteins	Conserved: putative function	1.-.-.-	@Intracellular				
lp_0083	79467	79772	+	lp_0083	transcription regulator, ArsR family	Regulatory functions	ArsR-family regulators		@Intracellular				
lp_0085	79949	81280	-	lp_0085	cation efflux protein (putative)	Transport and binding proteins	Unknown substrate		@Multi-transmembrane				
lp_0088	82631	83512	+	pepI	prolyl aminopeptidase	Protein fate	Degradation of proteins, peptides, and glycopeptides	3.4.11.5	@Intracellular				
lp_0089	83700	84443	-	lp_0089	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_0091	84613	85044	+	lp_0091	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_0092	85152	86792	-	lp_0092	ABC transporter, substrate binding protein, oligopeptide	Transport and binding proteins	Amino acids, peptides and amines		@Secretory(released) (with CS)				
lp_0096	87460	88206	+	lp_0096	unknown	Hypothetical proteins	Not conserved: other		@Intracellular				
lp_0098	88467	89243	+	lp_0098	adenylyl transferase (putative)	Hypothetical proteins	Conserved: putative function		@Intracellular				
lp_0099	89317	89547	-	lp_0099	unknown	Hypothetical proteins	Not conserved: other		@Intracellular				
lp_0100	89571	90299	-	lp_0100	cobalt ABC transporter, ATP-binding protein (putative)	Transport and binding proteins	Cations		@Intracellular				
lp_0101	90304	91122	-	lp_0101	cobalt transport protein	Transport and binding proteins	Cations		@Multi-transmembrane				
lp_0102	91100	92098	-	cbiM	cobalamin biosynthesis protein	Transport and binding proteins	Cations		@Multi-transmembrane				
lp_0103	92101	92763	-	lp_0103	transcription regulator, Crp/FNR family	Regulatory functions	Crp/FNR-family regulators		@Intracellular				
lp_0104	93016	94287	+	larA	lactate racemization operon protein LarA	Cell envelope	Murein sacculus and peptidoglycan		@Intracellular				
lp_0105	94292	95029	+	larB	lactate racemization operon protein LarB	Cell envelope	Murein sacculus and peptidoglycan		@Intracellular				
lp_0106	95063	95851	+	larC1	lactate racemization operon protein LarC, N-terminal domain	Cell envelope	Murein sacculus and peptidoglycan						
lp_0107	95893	96321	+	larC2	lactate racemization operon protein LarC, C-terminal domain	Cell envelope	Murein sacculus and peptidoglycan						
lp_0108	96329	97042	+	glpF1	glycerol uptake facilitator protein	Transport and binding proteins	Carbohydrates, organic alcohols and acids		@Multi-transmembrane				
lp_0109	97070	97897	+	larE	lactate racemization operon protein LarE	Cell envelope	Murein sacculus and peptidoglycan		@Intracellular				
lp_0111	98103	99077	-	lp_0111	oxidoreductase	Hypothetical proteins	Conserved: putative function	1.-.-.-	@Intracellular				
lp_0113	99433	100221	+	thiM	hydroxyethylthiazole kinase	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine	2.7.1.50	@Intracellular				
lp_0114	100250	101071	+	thiD	phosphomethylpyrimidine kinase & hydroxymethylpyrimidine kinase	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine	 2.7.4.7 & 2.7.1.49	@Intracellular				
lp_0115	101064	101714	+	thiE	thiamine-phosphate pyrophosphorylase	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine	2.5.1.3	@Intracellular				
lp_0116	101717	102913	+	thiP	hydroxymethylpyrimidine permease	Transport and binding proteins	Nucleosides, purines and pyrimidines		@Multi-transmembrane(Lipid modified N-termini)				
lp_0117	102998	103735	+	lp_0117	glutamine amidotransferase, class I	Amino acid biosynthesis	Glutamate family	2.4.2.-	@Intracellular				
lp_0118	103981	105570	+	lp_0118	unknown	Hypothetical proteins	Not conserved: other		@Intracellular				
lp_0119	105692	106159	-	lp_0119	NTP pyrophosphohydrolase	DNA metabolism	DNA replication recombination, and repair	3.6.1.-	@Intracellular				
lp_0120	106392	107753	+	lp_0120	amino acid transport protein	Transport and binding proteins	Amino acids, peptides and amines		@Multi-transmembrane				
lp_0121	107784	108560	+	lp_0121	unknown	Hypothetical proteins	Not conserved: other		@Intracellular				
lp_0122	108588	109367	+	lp_0122	alpha-beta superfamiliy hydrolase	Hypothetical proteins	Conserved: putative function	1.11.1.-	@Intracellular				
lp_0124	109569	112304	-	pacL1	cation transporting P-type ATPase	Transport and binding proteins	Cations	3.6.3.-	@Multi-transmembrane				
lp_0125	112589	113344	+	lp_0125	purine nucleoside phosphorylase (putative)	Purines, pyrimidines, nucleosides and nucleotides	Nucleotide and nucleoside interconversions	2.4.2.1	@Intracellular				
lp_0126	113393	113584	-	lp_0126	stress-responsive transcription regulator (putative)	Regulatory functions	Other		@N-terminally anchored (No CS)				
lp_0127	113653	114252	-	lp_0127	oxidoreductase	Hypothetical proteins	Conserved: putative function	1.-.-.-	@Intracellular				
lp_0128	114365	114835	+	lp_0128	transcription regulator, MarR family (putative)	Regulatory functions	MarR-family regulators		@Intracellular				
lp_0129	114984	115403	+	hsp1	small heat shock protein	Cellular processes	Adaptations and atypical conditions (Heat/cold shock)		@Intracellular				
lp_0130	115497	115949	-	lp_0130	sensor protein (putative)	Regulatory functions	Two-component regulators		@Multi-transmembrane				
lp_0131	115949	116452	-	lp_0131	two-component response regulator (putative)	Regulatory functions	Two-component regulators		@Intracellular				
lp_0132	116619	117848	+	lp_0132	transport protein	Transport and binding proteins	Multidrug resistance		@Multi-transmembrane				
lp_0133	117876	118238	+	lp_0133	transcription regulator, ArsR family	Regulatory functions	ArsR-family regulators		@Intracellular				
lp_0134	118306	119496	+	lp_0134	transport protein	Transport and binding proteins	Unknown substrate		@Multi-transmembrane				
lp_0136	119743	120588	+	lp_0136	2,5 diketo-D-gluconic acid -like  reductase, NADP dependent, promiscuous	Hypothetical proteins	Conserved: putative function	1.1.1.-	@Intracellular				
lp_0137	120668	121537	+	lp_0137	aldo/keto reductase family protein	Hypothetical proteins	Conserved: putative function	1.-.-.-	@Intracellular				
lp_0138	121640	122113	+	lp_0138	nucleoside 2-deoxyribosyltransferase (putative)	Hypothetical proteins	Conserved: putative function		@Intracellular				
lp_0139	122421	124127	+	lai	linoleic acid isomerase 	Cell envelope	Cell surface proteins: membrane bound	5.2.1.5	@N-terminally anchored (No CS)				
lp_0141	124305	125114	-	lp_0141	extracellular protein	Cell envelope	Cell surface proteins: other		@Secretory(released) (with CS)				
lp_0145	125380	126894	+	lp_0145	unknown	Hypothetical proteins	Not conserved: other		@Intracellular				
lp_0146	126969	128093	-	lp_0146	NADH:flavin oxidoreductase/NADH oxidase	Hypothetical proteins	Conserved: putative function	1.-.-.-	@Intracellular				
lp_0148	128329	129165	-	lp_0148	ABC transporter, permease protein, Cobalt (or cobalamine)	Transport and binding proteins	Unknown substrate		@Multi-transmembrane				
lp_0149	129170	130867	-	lp_0149	ABC transporter, ATP-binding protein, Cobalt (or cobalamine)	Transport and binding proteins	Unknown substrate		@Intracellular				
lp_0150	130875	131432	-	lp_0150	ABC transporter, acessory protein (putative), Cobalt (or cobalamine)	Hypothetical proteins	Conserved: membrane proteins		@Multi-transmembrane				
lp_0152	132004	132753	+	lp_0152	transcription regulator, GntR family	Regulatory functions	GntR-family regulators		@Intracellular				
lp_0154	132901	133227	+	lp_0154	transcription regulator, PadR family (putative)	Regulatory functions	Other		@Intracellular				
lp_0155	133259	134041	+	lp_0155	unknown	Hypothetical proteins	Not conserved: other		@Multi-transmembrane				
lp_0156	134069	134878	+	lp_0156	unknown	Hypothetical proteins	Not conserved: other		@Multi-transmembrane				
lp_0158	135204	135701	+	lp_0158	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_0159	135873	136664	+	lp_0159	short-chain dehydrogenase/oxidoreductase	Energy metabolism	Aerobic		@Intracellular				
lp_0160	136930	137844	+	lp_0160	ABC transporter, ATP-binding protein	Transport and binding proteins	Unknown substrate		@Intracellular				
lp_0161	137853	139466	+	lp_0161	ABC transporter, permease protein	Transport and binding proteins	Unknown substrate		@Multi-transmembrane				
lp_0162	139488	140147	+	lp_0162	transcription regulator (putative)	Regulatory functions	TetR/AcrR-family regulators		@Intracellular				
lp_0163	140318	141856	+	lp_0163	acyl-CoA dehydrogenase domain protein	Hypothetical proteins	Conserved: putative function		@Intracellular				
lp_0164	142035	142544	-	lp_0164	integral membrane protein	Hypothetical proteins	Not conserved: membrane proteins		@Multi-transmembrane				
lp_0165	142774	143289	+	lp_0165	transcription regulator (putative)	Regulatory functions	TetR/AcrR-family regulators		@Intracellular				
lp_0166	143292	144278	-	dak1A	dihydroxyacetone phosphotransferase, dihydroxyacetone binding sub-unit	Fatty acid and phospholipid metabolism	Glycerolipid metabolism	2.7.1.29	@Intracellular				
lp_0168	144440	145435	+	dak1B	glycerone kinase	Fatty acid and phospholipid metabolism	Glycerolipid metabolism	2.7.1.29	@Intracellular				
lp_0169	145452	146030	+	dak2	dihydroxyacetone phosphotransferase, dihydroxyacetone binding sub-unit	Fatty acid and phospholipid metabolism	Glycerolipid metabolism	2.7.1.29	@Intracellular				
lp_0170	146030	146395	+	dak3	dihydroxyacetone phosphotransferase, phosphoryl donor protein	Fatty acid and phospholipid metabolism	Glycerolipid metabolism	2.7.1.29	@Intracellular				
lp_0171	146413	147117	+	dhaP	dihydroxyacetone transport protein (putative)	Transport and binding proteins	Carbohydrates, organic alcohols and acids		@Multi-transmembrane				
lp_0172	147271	148287	+	lp_0172	transcription regulator, LacI family, maltose-related	Regulatory functions	LacI-family regulators		@Intracellular				
lp_0173	148314	149273	+	lp_0173	transcription regulator, LacI family, maltose related	Regulatory functions	LacI-family regulators		@Intracellular				
lp_0174	149293	150963	+	malA1	maltase & sucrase	Central intermediary metabolism	Biosynthesis and degradation of polysaccharides	3.2.1.-	@Intracellular				
lp_0175	151222	152472	+	mdxE	ABC transporter, substrate binding protein, maltodextrin 	Transport and binding proteins	Carbohydrates, organic alcohols and acids		@Lipid anchored				
lp_0176	152585	153871	+	mdxF	ABC transporter, permease protein, maltodextrin 	Transport and binding proteins	Carbohydrates, organic alcohols and acids		@Multi-transmembrane				
lp_0177	153879	154760	+	mdxG	ABC transporter, permease protein, maltodextrin 	Transport and binding proteins	Carbohydrates, organic alcohols and acids		@Multi-transmembrane				
lp_0178	154791	155618	+	lp_0178	ABC transporter, accessory protein, maltodextrin	Transport and binding proteins	Carbohydrates, organic alcohols and acids		@Multi-transmembrane				
lp_0179	155655	156974	+	malS	alpha-amylase, maltodextrins and cyclomaltodextrins	Central intermediary metabolism	Biosynthesis and degradation of polysaccharides	3.2.1.1	@Intracellular				
lp_0180	157079	158182	+	msmX	ABC transporter, ATP-binding protein, maltodextrin	Transport and binding proteins	Carbohydrates, organic alcohols and acids		@Intracellular				
lp_0181	158212	160479	+	mapB	maltose phosphorylase	Central intermediary metabolism	Biosynthesis and degradation of polysaccharides	2.4.1.8	@Intracellular				
lp_0182	160699	163542	-	lp_0182	endo-beta-N-acetylglucosaminidase	Cell envelope	Murein sacculus and peptidoglycan	3.2.1.96	@Lipid anchored				
lp_0183	164129	164398	+	lp_0183	integral membrane protein	Hypothetical proteins	Conserved: membrane proteins		@Multi-transmembrane				
lp_0184	164482	165345	-	sacK1	fructokinase	Energy metabolism	Sugars	2.7.1.4	@Intracellular				
lp_0185	165482	167434	-	pts1BCA	PTS, EIIBCA, oligosucrose 	Transport and binding proteins	PTS systems		@Multi-transmembrane				
lp_0187	167690	169192	+	scrB	sucrose-6-P hydrolase	Energy metabolism	Sugars	3.2.1.26	@Intracellular				
lp_0188	169176	170153	+	scrR	oligosucrose operon repressor	Regulatory functions	LacI-family regulators		@Intracellular				
lp_0189	170177	171850	+	lp_0189	raffinose-6-P hydrolase & stachyose-6-P hydrolase	Central intermediary metabolism	Biosynthesis and degradation of polysaccharides	3.2.1.22	@Intracellular				
lp_0190	172013	172924	-	lp_0190	oxidoreductase	Hypothetical proteins	Conserved: putative function	1.-.-.-	@Intracellular				
lp_0192	173148	174545	-	nha1	NHAC family transporter, Tyrosine related	Transport and binding proteins	Cations		@Multi-transmembrane				
lp_0193	175091	176761	+	lp_0193	exo alfa-1,4-glucosidase or trehalase 	Central intermediary metabolism	Biosynthesis and degradation of polysaccharides	3.2.1.20 or 3.2.1.28	@Intracellular				
lp_0194	176967	177878	-	lp_0194	transcription regulator, LysR family	Regulatory functions	LysR-family regulators		@Intracellular				
lp_0197	178865	181882	+	lp_0197	cell surface protein precursor	Cell envelope	Cell surface proteins: LPxTG anchor		@LPxTG Cell-wall anchored				
lp_0199	182179	183018	-	lp_0199	transcription regulator, Xre family (putative)	Regulatory functions	Other		@Intracellular				
lp_0200	183209	184867	-	lp_0200	ABC transporter, substrate binding protein	Transport and binding proteins	Amino acids, peptides and amines		@Lipid anchored				
lp_0201	185076	186734	-	lp_0201	ABC transporter, substrate binding proteins	Transport and binding proteins	Amino acids, peptides and amines		@Lipid anchored				
lp_0202	186890	187330	-	lp_0202	acetyltransferase, GNAT family (putative)	Hypothetical proteins	Conserved: putative function		@Intracellular				
lp_0203	187330	188505	-	serA	D-3-phosphoglycerate dehydrogenase	Amino acid biosynthesis	Serine family	1.1.1.95	@Intracellular				
lp_0204	188524	189594	-	serC	phosphoserine aminotransferase	Amino acid biosynthesis	Serine family	2.6.1.52	@Intracellular				
lp_0205	189978	190598	+	pgm1	phosphoglycerate mutase family protein	Energy metabolism	Glycolysis	5.4.2.1	@Intracellular				
lp_0206	190859	191650	+	lp_0206	oxidoreductase	Hypothetical proteins	Conserved: putative function	1.-.-.-	@Intracellular				
lp_0207	192154	192372	+	lp_0207	unknown	Hypothetical proteins	Not conserved: other		@Intracellular				
lp_0208	192381	192728	-	lp_0208	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_0209	192718	193587	-	lp_0209	adherence protein (putative)	Cell envelope	Cell surface proteins: other						
lp_0210	193763	194947	+	ack1	acetate kinase	Energy metabolism	Fermentation	2.7.2.1	@Intracellular				
lp_0213	195402	195749	-	lp_0213	chromosome condensation protein (putative)	Cellular processes	Other		@Multi-transmembrane				
lp_0214	195752	196132	-	lp_0214	chromosome condensation protein (putative)	Cellular processes	Other		@Multi-transmembrane				
lp_0215	196433	197950	+	lp_0215	ABC transporter, ATP-binding protein	Transport and binding proteins	Unknown substrate		@Intracellular				
lp_0216	198163	199812	+	ISP2_1	transposase	Other categories	Transposon related functions		@Intracellular				
lp_0217	199847	200491	-	lp_0217	ABC transporter, permease protein	Transport and binding proteins	Unknown substrate		@Multi-transmembrane				
lp_0218	200503	201906	-	lp_0218	ABC transporter, ATP-binding protein	Transport and binding proteins	Unknown substrate		@Intracellular				
lp_0219	201938	202504	-	lp_0219	ABC transporter, permease protein	Transport and binding proteins	Unknown substrate		@Multi-transmembrane				
lp_0220	202845	203327	+	gpo	glutathione peroxidase	Cellular processes	Detoxification	1.11.1.9	@Intracellular				
lp_0221	203381	204208	+	lp_0221	2,5 diketo-D-gluconic acid -like  reductase, NADP dependent (promiscuous)	Hypothetical proteins	Conserved: putative function	1.1.1.-	@Intracellular				
lp_0223	204718	205185	-	greA1	transcription elongation factor GreA	Transcription	Transcription factors		@Intracellular				
lp_0224	205274	205684	-	lp_0224	integral membrane protein	Hypothetical proteins	Conserved: other		@Multi-transmembrane				
lp_0225	205700	205900	-	lp_0225	transcriptional regulator, Cro/CI family	Regulatory functions	Other		@Intracellular				
lp_0226	206280	206990	+	gnp	glucosamine-6-phosphate isomerase	Central intermediary metabolism	Amino sugars	3.5.99.6	@Intracellular				
lp_0228	207139	208551	-	pepD1	dipeptidase	Protein fate	Degradation of proteins, peptides, and glycopeptides	3.4.13.-	@Intracellular				
lp_0230	208913	210748	+	pts2CB	mannitol PTS, EIICB	Transport and binding proteins	PTS systems	2.7.1.69	@Multi-transmembrane				
lp_0231	210788	212860	+	mtlR	transcription regulator, mannitol operon	Regulatory functions	Other		@Intracellular				
lp_0232	212878	213324	+	pts2A	mannitol PTS, EIIA	Transport and binding proteins	PTS systems	2.7.1.69	@Intracellular				
lp_0233	213329	214483	+	mtlD	mannitol-1-phosphate 5-dehydrogenase	Energy metabolism	Sugars	1.1.1.17	@Intracellular				
lp_0235	214745	215293	-	lp_0235	unknown	Hypothetical proteins	Not conserved: other		@Intracellular				
lp_0236	215474	215803	+	trxA1	thioredoxin	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione, thioredoxin, and glutaredoxin		@Intracellular				
lp_0237	215903	216226	-	lp_0237	integral membrane protein	Hypothetical proteins	Not conserved: membrane proteins		@Multi-transmembrane				
lp_0239	216517	217068	+	lp_0239	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_0240	217139	217537	-	lp_0240	unknown	Hypothetical proteins	Not conserved: other		@Intracellular				
lp_0242	217782	218243	-	ndk	nucleoside-diphosphate kinase	Purines, pyrimidines, nucleosides and nucleotides	Pyrimidine ribonucleotide biosynthesis	2.7.4.6	@Intracellular				
lp_0243	218478	219821	+	lp_0243	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_0244	220124	220669	+	lp_0244	NADPH-dependent FMN reductase family protein	Hypothetical proteins	Conserved: putative function	1.-.-.-	@Intracellular				
lp_0245	220941	221633	+	lp_0245	transcription regulator, GntR family	Regulatory functions	GntR-family regulators		@Intracellular				
lp_0247	222157	223488	+	pts3C	cellobiose PTS, EIIC	Transport and binding proteins	PTS systems	2.7.1.69	@Multi-transmembrane				
lp_0248	223501	223764	+	lp_0248	unknown	Hypothetical proteins	Not conserved: other		@Multi-transmembrane				
lp_0249	223764	224855	+	lp_0249	PTS-associated protein	Hypothetical proteins	Conserved: putative function		@Intracellular				
lp_0250	224851	225966	+	lp_0250	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_0251	226039	227136	+	lp_0251	SelA-related pyridoxal phosphate-dependent enzyme 	Hypothetical proteins	Conserved: putative function		@Intracellular				
lp_0252	227130	227861	+	lp_0252	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_0253	227878	228897	+	kdgK	2-keto-3-deoxygluconate kinase	Energy metabolism	Sugars	2.7.1.45	@Intracellular				
lp_0254	229067	229606	-	cysE	serine O-acetyltransferase	Amino acid biosynthesis	Serine family	2.3.1.30	@Intracellular				
lp_0255	229614	230756	-	cblB	cystathionine beta-lyase/cystathionine gamma-lyase	Amino acid biosynthesis	Aspartate family	4.4.1.8/4.4.1.1	@Intracellular				
lp_0256	230771	231679	-	cbs	cystathionine beta-synthase	Amino acid biosynthesis	Serine family	4.2.1.22	@Intracellular				
lp_0257	232295	233083	-	pepM	methionyl aminopeptidase	Protein fate	Degradation of proteins, peptides, and glycopeptides	3.4.11.18	@Intracellular				
lp_0259	233445	234230	+	pnuC	nicotinamide mononucleotide transporter	Transport and binding proteins	Other		@Multi-transmembrane				
lp_0260	234432	234707	+	lp_0260	unknown	Hypothetical proteins	Conserved: other		@Intracellular				
lp_0261	234703	234987	+	lp_0261	integral membrane protein	Hypothetical proteins	Conserved: membrane proteins		@Multi-transmembrane				
lp_0262	235306	236022	+	treR	trehalose operon transcriptional repressor, GntR family	Regulatory functions	GntR-family regulators		@Intracellular				
lp_0263	236050	237690	+	treA	trehalose-6-phosphate hydrolase 	Central intermediary metabolism	Biosynthesis and degradation of polysaccharides	3.2.1.93	@Intracellular				
